Port,Year,Dry,Wet,yval
A1,2016,7/10/2016,11/6/2016,1
A1,2017,7/7/2017,12/21/2017,2
A1,2018,7/26/2018,12/9/2018,3
A1,2019,7/7/2019,2/8/2020,4
A1,2020,6/2/2020,2/7/2021,5
A2,2016,8/7/2016,10/8/2016,1
A2,2017,8/1/2017,2/10/2017,2
A2,2018,8/8/2018,1/15/2019,3
A2,2019,8/6/2019,2/8/2020,4
A2,2020,6/2/2020,2/7/2021,5
A3,2016,8/27/2016,11/6/2016,1
A3,2018,8/25/2018,1/15/2019,3
A3,2019,9/1/2019,2/8/2020,4
A3,2020,8/8/2020,2/7/2021,5
A4,2016,9/18/2016,11/6/2016,1
A4,2017,8/1/2017,2/10/2018,2
A4,2018,8/9/2018,1/15/2019,3
A4,2019,8/19/2019,2/8/2020,4
A4,2020,7/28/2020,2/7/2021,5
A5,2016,9/18/2016,12/6/2016,1
A5,2017,9/10/2017,2/21/2018,2
A5,2018,8/25/2018,1/29/2019,3
A5,2019,9/15/2019,2/8/2020,4
A5,2020,7/28/2020,2/21/2021,5
A6,2017,10/28/2017,1/10/2018,2
A6,2018,10/14/2018,1/29/2019,3
A6,2019,11/9/2019,2/8/2020,4
A6,2020,9/5/2020,3/18/2021,5
A7,2017,1/21/2018,3/23/2018,2
A7,2019,12/21/2019,2/8/2020,4
